,Rating,Title,Review,Review_Date
0,4.0,Average phone.. not very influential,Drawbacks : 1. In-display fingerint is slow as compared to my previous vivo z1x phone.2. Apps crashing some times.3. Sometimes feeling touch issues.Good At: 1. Flawless with screen 90hz refresh rate.2. Camera quality is great.3. Light and sleak phone.Overall recommend buy.,Reviewed in India 🇮🇳 on 27 September 2022
1,4.0,Excellent,Design is soo good and camera have to be much more better overall phone is too awesome,Reviewed in India 🇮🇳 on 26 September 2022
2,4.0,Good,All items are there in the box. but I didn't swith on  mobile because i have to give this to someone as a gift.. So after 2 days i will record another video while switching on phone. Incase if mobile has any problem i will upload that video,Reviewed in India 🇮🇳 on 23 September 2022
3,4.0,Good enough,Battery life is good and I liked high speed charging. So far haven't faced heating or hanging problem.  Gestures are very good. Camera features are good but portrait mode could have been better and also same goes with fingerprint.,Reviewed in India 🇮🇳 on 22 September 2022
4,4.0,It's nice compared to other phones at this range.,The dislike part is that sometimes the volume buttons doesn't work.,Reviewed in India 🇮🇳 on 20 September 2022
5,4.0,Good Performance,Nice mobile. Good Performance One Plus Nord Ce 2. Letest Update Coming 5Gb and after Up to Date mobile performance was Amazing 😇😇😇😇,Reviewed in India 🇮🇳 on 19 September 2022
6,4.0,This is good in terms of display. Camera is not as good as old phones.,"Previously, I used a Samsung Galaxy A8 Plus. This phone is nowhere near to it in terms of display and camera quality. I think the hardware of old phones were really good. This phone has a lesser pixel size on the camera sensor. Therefore it's hard to get quality shots at low light. These photos are shot in pro mode. Camere really disappointed me. The display is okay. Android 12 gives a nice UI. Vibration and haptics are horrible when compared to my old phone. The colors are also facing some issues. This is my opinion.",Reviewed in India 🇮🇳 on 12 August 2022
7,4.0,A decent package for non gamers and everything thing is decent not the best out there,"The media could not be loaded.
                



 Build quality - Rating 7.5 : One of the light weight phones out there and has to say it's quite comfortable for one hand usage and even the material used is polycarbonate but gets the job done but doesn't matter if back cover is there . In terms of styling it's similar to oppo phone but i liked it but won't recommend gray one as it attaches fingerprints but if you are going to use back cover then it doesn't matterDisplay -  Rating 8 : Really good amoled plan and 90hz refresh rate works well wish it could have been 120hz . But the bottom chin is quite thick that is the only thing and yes there is gorilla glass 5 protection and screen guard pre applied too . But the panel on this one is the not the best out there but it's pretty decent as wellPerformance - Rating 9 :Dimensity 900 with ufs 2.2 and lppdr4x Ram gets the job done for regular day to day operations and I didn't played games so can't say but considering this soc is pretty good you can expect 50 fps stable in bgmi and cod . Still I would say this processor is good but competition is offering better so you decide . For me gaming doesn't matter and for next 2 years it can last me easily for normal.usageSoftware- 8.5 : biggest con is Android 11 based on oxygen OS or should I say future color oos 😂 but overall it's quite stable and no bugs as of now but still can't say a lot will have to wait for Android 12 to have better ideaCamera -  Rating 7.5 : 64mp is decent I was atleast expecting samsung sensor though but they provided omnivison sensor which gets the job done but to be Frank I am not into camera that much so better to check other reviews and video stability in 1080p is good and 8mp ultratwide is decent as well . Still the camera is not the best out there again I am saying this because others are offering better but OnePlus managed to give decent thingsBattery -  Rating 9: on 90hz refresh rate with 40 percent brightness and dark mode excluding gaming it gives 7 hrs of sot from 99 to 89 on wifi network and then 89 to 59 on jio network and rest remaining on wifi . So battery for normal tasks can last more than 1.5 day . Charging takes about 30 minutes to charge from 10 percent to 99 which is pretty fastSpeakers -  6: pathetic only single speaker and quality is moderate5g bands - 8 bands so it' is futuristicCall quality - Rating 10 :  it's amazing pretty loud and none of the parties ever complained about my voice that is getting mumbledSo to conclude you can buy this one if you only care for OnePlus and you want to try OnePlus for the first time . I was even getting mi 11 lite ne 5g at same price but rejected it due to miui . So for normal users and those who want a stable software without any ads or notification or bloatwares its good",Reviewed in India 🇮🇳 on 26 February 2022
8,4.0,"Camera not that good , rest all is good.","Camera not that good , rest all is good.",Reviewed in India 🇮🇳 on 14 September 2022
9,4.0,Worth every penny,Good phone. Decent battery backup. I switched from iphone 6 to this phone and am amazed with the speed and performance. Battery charging is superfast and it lasts as well,Reviewed in India 🇮🇳 on 18 September 2022
